name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-65,65-80,80-95,95-110,110-125,125-140,140-155,155-170,170-185,185-200,200-215,215-230,230-245,245-260,260-275,275-290,290-305,305-320,320-335,335-350,350-365,365-380,380-395
D6d0S1-F0d03-Vc15-MJ001-K01,1,0.03,15.0,J001,1,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395,17358903.367674507,210123460.47326103,64705419.82845763,104747954.53270651,3763846.3237855486,33922315.79220832,4676054.103501049,40781934.04973185,875405.4773163357,1775825.6051473026,2748855.51843808,2460809.361556805,2207120.095401466,1200801.035391613,1674390.3722567062,1487822.9124682331,654979.6147605007,1396385.013025401,1972248.3166637016,1542859.175222919,528649.5198203146,732024.9612334206,1196764.6619032826
D6d0S1-F0d03-Vc15-MJ002-K01,1,0.03,15.0,J002,1,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589,29925096.93807762,201692970.77838016,41086705.45191792,172145357.0519912,5542580.6186307315,21741882.57828855,6057853.7343196925,82277449.60668035,909010.7481947718,2253649.2338723927,2317072.2930615065,4071429.4291975833,1173820.2274037723,1887350.348401529,1153914.5797008309,1013919.6249315705,777700.6223062192,1251322.8959410836,1062633.9789092662,1637571.7443871982,782923.7092843767,953543.9667711204,811391.5717718953
D6d0S1-F0d03-Vc15-MJ003-K02,1,0.03,15.0,J003,2,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025,23915172.685408585,74045531.80891913,27522572.26672629,216400192.81509408,6201242.857766857,21896832.61948402,6337262.912022991,94608749.19812204,878543.3628744239,2777727.392769753,2867105.574170679,4261250.065321935,1146882.9713083,2019734.9689880144,1581550.5180890225,1472193.457091348,475771.4340900047,2006569.7009197727,1958587.9539823148,1927411.4347294944,471440.6489769304,914711.3609393388,899331.2354173338
D6d0S1-F0d03-Vc15-MJ004-K02,1,0.03,15.0,J004,2,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452,25928118.457907386,21225360.888159167,12762614.647601284,137536495.61565545,3339661.524172136,16557421.890967892,5014244.811375331,42021604.81520224,841888.5796402034,1880886.360986882,1669663.8395501086,4856935.361307265,1317444.902091136,1783928.9187276296,1159296.7809408559,1335171.4028533266,1111421.9484671368,1600820.4207018143,1417673.4924601081,1638224.5014896225,999622.1789027369,1200278.4796468136,1092261.355125712
D6d0S1-F0d03-Vc15-MJ005-K03,1,0.03,15.0,J005,3,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121268,3.74299560080167,21210576.419383425,29051149.718430586,16988698.23666349,183398521.64663672,5734622.435798665,19505596.256399274,7650037.71676856,53279007.12060861,1347456.1359305505,2955534.541552021,2493247.411422104,6870925.624303518,1737700.3564942786,2285685.46184013,2045602.0865966075,1564054.3395463238,501348.1388567728,1873243.2295800908,1935892.7541650976,1999410.720657963,498540.7366087871,1198214.3168878958,1059979.6825439993
D6d0S1-F0d03-Vc15-MJ006-K03,1,0.03,15.0,J006,3,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594,31017939.03959067,108387416.13810717,27887369.172965586,182752360.12085912,5005302.513804595,18283378.34255908,9128645.730686042,47179373.96037127,1367353.3783361963,2661140.812604784,2059661.740861431,7036559.950080657,1471601.4338746713,1673085.5721223378,1468510.96214005,1220674.6058120052,508135.1888671214,2464120.6390563897,2374828.2987189917,1745438.5076009375,467983.2361547082,1522578.8008094963,714113.3121732641
D6d0S1-F0d03-Vc15-MJ007-K04,1,0.03,15.0,J007,4,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171,26946802.92273252,64380079.10497521,23843514.532897163,192994597.38087988,4833940.011688394,16361222.705937125,8265914.157353007,53300640.97716261,1625697.1884429406,2913193.9817955494,2511608.4353584377,8580251.488711396,1558162.0877426988,1686420.4677067024,1570896.5465379832,1117855.9782451217,596489.5347389518,1441987.9633707902,1563741.411447232,1686994.6721987212,563529.4864266779,1349123.8774247905,856547.4233159247
D6d0S1-F0d03-Vc15-MJ008-K04,1,0.03,15.0,J008,4,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558,33123130.65154013,71596581.80148163,23855726.220738005,156027122.39333,3752574.008372295,14141729.767118473,8496058.335006531,42960378.61489478,1464764.2779189919,2268766.7831419357,2127434.6605252414,7444443.964689228,1479420.918922638,1808145.8933977103,1234320.7773707712,866630.327719743,452950.2480358245,1397548.1218934818,929323.6986070656,1287390.8607212992,483709.8565253612,680205.8609402035,685554.3079809954
D6d0S1-F0d03-Vc15-MJ009-K05,1,0.03,15.0,J009,5,44.1888264079685,15.9144925256604,28.26070204710249,4.85054104348816,3.9923769645953695,34680075.52092961,122006100.30579633,36272959.88929199,163941500.69392252,4485571.820298037,20106272.56774108,7083109.449291713,49261331.69734848,2345886.0440531885,2781223.8503023917,2333477.3728546086,7026999.2272791965,1692137.2121917238,1674585.105871046,1465399.1773027466,1102134.968830041,563905.7131988814,1212133.929102645,936819.8651430408,1074969.5932393277,622157.5569532153,1005649.7945881684,917259.9851140992
D6d0S1-F0d03-Vc15-MJ010-K05,1,0.03,15.0,J010,5,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873,35106864.18377449,149516390.74063343,38797602.58767633,140881067.22030893,4060885.021628882,14581856.904059095,7764066.329181783,44028442.721937016,1593640.2557205153,2262955.561538916,2801212.5089459624,6669527.015145311,1348410.5658570402,1692139.7946571866,1512541.9718011776,1073531.8972002578,615631.0532552089,1205205.416191611,1325379.6309167878,1931067.11476606,665958.0530962292,1261397.3376666815,533938.0732066986
